Question Rank,Movie ID,Movie Title,Distribution,Hype,Recency,Audience,Sentiment,Style,Drama,Thrill,Release,Action
866,867,Harlem Nights,2.366,-0.666,2.743,2.018,-0.718,-0.149,-1.133,-0.115,1.452,-0.595
867,868,Coyote Ugly,1.165,-0.275,0.443,-0.226,0.173,0.181,-0.773,-1.040,-1.134,1.652
868,869,Poseidon,1.385,1.568,-0.036,-0.647,-0.518,1.143,-0.260,-0.920,-0.099,1.039
869,870,Fantasia 2000,-0.310,-0.043,0.020,-0.842,-0.682,-0.229,-0.169,-0.111,2.342,-0.455
870,871,Three Kings,1.577,1.231,1.173,-0.213,0.407,-0.918,-0.789,-0.057,-2.157,-0.344
871,872,Jingle All the Way,-0.028,0.254,-0.989,-0.257,-0.640,-0.187,-0.289,-1.485,-0.550,0.678
872,873,Kiss the Girls,-0.148,-1.541,0.977,-0.465,-0.605,-0.489,-0.236,2.274,-0.283,1.489
873,874,Baby Mama,0.474,-1.241,1.304,-1.375,-0.644,-1.892,-0.045,-1.362,0.607,-1.400
874,875,Shanghai Knights,0.128,0.414,-0.285,-0.883,0.145,-0.127,1.377,0.160,-2.036,-0.393
875,876,The Lucky One,-0.340,-0.114,-0.445,-0.331,1.267,-1.590,-0.959,-1.491,-0.953,1.277
876,877,The Wedding Planner,2.776,-0.196,-0.675,-0.546,-1.312,0.996,-2.022,1.512,0.793,-0.048
877,878,Burn After Reading,1.508,0.728,1.647,-0.233,-0.638,1.525,-0.871,0.245,1.631,-1.888
878,879,Scrooged,-0.763,-0.299,-0.038,0.055,-0.688,-0.342,-0.627,-0.300,1.812,-0.108
879,880,Resident Evil: Afterlife,-0.632,0.393,-0.120,-0.108,-0.562,-0.273,0.790,1.387,-0.216,0.867
880,881,Tyler Perrys Why Did I Get Married Too?,-1.738,-0.250,0.239,2.027,0.248,2.409,-0.359,0.083,-0.215,-0.667
881,882,The American President,-0.098,1.220,2.265,0.111,-0.401,0.203,0.300,0.087,-0.224,-0.067
882,883,The Family Stone,-0.152,1.333,-0.663,1.625,1.663,1.862,0.277,-0.728,-0.258,1.349
883,884,Bad Santa,-0.488,-0.946,2.563,-0.309,0.118,-1.395,-0.603,-0.217,0.179,0.903
884,885,Bruno,0.664,1.194,-1.370,-0.061,0.777,-0.076,-1.351,-0.477,-1.365,2.050
885,886,Hope Floats,-1.023,-0.624,-0.128,-0.181,-0.759,-1.503,0.367,1.982,0.870,1.181
886,887,Tooth Fairy,-0.080,0.426,-0.383,-0.098,-0.302,-0.407,1.327,-0.199,-1.387,-0.244
887,888,Snow Day,0.204,1.373,0.092,0.466,-0.066,-0.043,-0.086,-0.754,-1.737,-0.489
888,889,The Good Shepherd,-1.161,0.640,-0.814,-0.431,-1.224,0.035,-1.728,0.155,-0.351,-0.433
889,890,Superman III,0.351,0.510,0.155,-0.968,-0.690,1.628,-0.312,-1.538,-0.170,0.618
890,891,Little Miss Sunshine,-0.335,-0.925,-0.156,-0.378,-0.981,-0.072,-0.407,0.158,-0.297,-0.902
891,892,The Benchwarmers,-0.130,1.520,-0.339,-0.392,-1.438,0.112,0.771,-0.064,2.181,2.787
892,893,Predator,-0.700,-1.623,0.268,-0.630,-1.014,-0.689,-0.328,0.297,-1.268,-0.261
893,894,Secretariat,-1.057,0.079,0.491,-0.092,-1.179,0.354,2.334,-0.716,4.005,-0.827
894,895,Love Actually,-0.362,0.057,0.598,-0.239,-0.128,0.560,-0.522,-0.056,0.093,0.354
895,896,Gothika,2.129,-1.565,-1.328,-0.955,2.844,-0.554,1.585,-0.620,-0.877,0.794
896,897,The Dictator,-1.235,0.033,0.645,-0.679,-0.055,0.149,0.504,-0.529,-0.074,1.423
897,898,Hellboy,-1.091,-0.635,0.501,0.772,0.547,-1.571,0.030,-0.126,-0.602,-1.647
898,899,The Stepford Wives,-0.993,1.834,0.999,-0.929,-0.081,0.540,-0.008,0.013,-1.122,-0.910
899,900,Courage Under Fire,-0.108,0.086,-0.800,-0.370,-1.212,0.372,-1.342,2.798,-0.146,-0.062
900,901,Dawn of the Dead,-0.279,0.459,0.068,2.793,-1.318,2.433,-0.635,2.479,2.567,1.447
901,902,Chariots of Fire,-0.307,-0.157,-0.256,-1.577,-0.918,-0.428,-1.740,2.570,0.481,-0.716
902,903,Far and Away,0.823,-0.230,1.682,-1.064,0.029,-0.919,-0.245,-0.015,-0.009,0.261
903,904,Total Recall,-0.185,2.195,-0.366,1.110,1.532,-0.588,-0.142,1.983,1.310,0.042
904,905,Surfs Up,-0.616,-0.110,-1.240,-1.685,0.253,-0.893,0.318,-0.343,-0.011,-0.244
905,906,Behind Enemy Lines,0.379,-1.330,-1.310,-0.051,-0.133,0.223,0.094,-0.011,-0.842,0.273
906,907,Bride Wars,0.107,0.241,0.393,2.825,-0.014,2.856,-0.522,0.014,0.528,-0.719
907,908,Water for Elephants,-1.666,-1.263,0.212,-0.890,-1.835,1.804,-0.046,0.925,-0.185,1.160
908,909,"Honey, I Blew Up the Kid",-0.445,1.267,2.592,0.893,-0.122,2.244,-1.319,0.242,1.390,0.260
909,910,Little Man,-0.733,-0.246,-1.386,2.538,0.058,-1.472,0.072,0.150,-0.139,0.159
910,911,Jack,-1.390,1.196,1.576,0.021,0.938,0.333,0.310,-1.263,-0.871,-0.225
911,912,Anastasia,0.060,-0.287,0.510,-0.708,-0.050,-0.413,1.431,0.147,-0.105,1.048
912,913,Easy A,0.305,0.326,0.070,-1.183,-0.273,0.140,0.112,-1.325,0.430,1.242
913,914,Curious George,-0.107,0.135,3.142,2.345,1.089,0.196,-0.181,-0.440,-0.518,0.316
914,915,Open Range,0.113,-0.229,-0.474,-0.018,0.229,0.248,-2.035,-1.399,-0.903,-1.574
915,916,Halloween,-0.814,0.331,0.786,0.089,0.068,-0.021,1.571,2.671,-0.085,-0.100
916,917,Bicentennial Man,-0.304,-0.590,0.472,0.894,1.751,-0.191,-0.852,-0.703,0.000,-0.559
917,918,Ali,-0.698,2.236,0.818,-0.559,0.132,-0.229,0.113,-0.603,0.079,-1.269
918,919,Without a Paddle,-0.633,-0.217,0.089,0.127,-1.079,0.534,-1.808,-0.153,1.467,1.617
919,920,Demolition Man,0.294,1.144,0.146,0.167,-2.030,-1.529,-1.142,1.363,2.435,-0.019
920,921,Step Up 2 the Streets,0.689,-1.350,0.399,-0.441,1.408,-1.564,-0.947,-0.184,0.497,-1.328
921,922,The Lincoln Lawyer,0.171,-1.506,-1.304,-0.891,0.042,0.172,2.528,0.003,-0.919,-1.742
922,923,The Butterfly Effect,-0.817,-1.060,0.108,1.298,0.202,2.156,-0.460,0.363,0.257,-0.887
923,924,Red Eye,0.370,0.055,-0.078,1.194,-0.553,-0.628,-1.697,-0.345,2.575,1.530
924,925,Shall We Dance,0.002,2.112,-0.748,0.211,0.015,-0.925,-0.130,-0.746,-1.050,0.359
925,926,Invincible,-0.450,-0.750,0.476,2.425,0.778,-0.040,0.405,-1.046,-0.242,-0.205
926,927,The Chronicles of Riddick,0.466,0.168,0.020,0.141,-0.268,-0.272,-1.024,0.016,-0.076,-0.201
927,928,Takers,-0.120,-1.214,-0.728,2.056,0.234,0.009,-0.367,1.396,-0.345,-2.011
928,929,The Animal,0.296,-1.737,2.209,0.526,-0.778,0.435,2.616,-0.240,0.141,-0.882
929,930,The Cider House Rules,-0.023,0.236,0.110,-0.152,-1.047,0.060,0.734,0.402,0.450,0.317
930,931,Boyz N the Hood,-0.688,2.438,1.717,-1.233,-0.136,-1.122,-0.260,-0.225,2.616,0.474
931,932,Memoirs of a Geisha,-0.325,-0.023,-1.697,0.277,-0.644,-0.013,-0.132,-0.199,0.199,2.198
932,933,Moulin Rouge!,0.359,0.218,0.069,1.658,-0.825,2.074,-0.056,-1.026,-0.239,-0.381
933,934,Blood Diamond,0.342,-0.990,1.488,-0.270,-0.100,-0.195,0.233,0.109,-0.134,-0.927
934,935,The Specialist,-0.058,1.523,0.471,0.195,-0.531,-0.099,-0.369,-0.053,-0.580,3.874
935,936,Next Friday,-0.581,0.008,0.001,-0.118,-1.526,-1.201,-0.438,1.895,0.145,1.033
936,937,The Whole Nine Yards,-1.451,2.388,-1.351,-1.054,-1.401,-1.265,-1.177,-0.056,-0.710,-0.455
937,938,Life Is Beautiful,-0.167,-0.863,0.802,-0.861,-0.774,-1.955,-1.344,-0.142,0.131,2.472
938,939,13 Going on 30,-1.696,0.242,0.360,-0.615,-0.419,-1.534,-1.619,-1.464,-0.724,-0.046
939,940,The Blues Brothers,2.207,1.268,-0.641,-0.906,0.144,-0.088,0.309,-0.982,0.419,0.135
940,941,U.S. Marshals,-0.249,1.283,0.072,0.243,2.352,-0.571,-1.373,-0.300,-1.042,0.233
941,942,12 Monkeys,0.065,0.177,-0.972,-1.008,-0.156,-0.757,-0.457,0.210,-1.424,1.276
942,943,Annie,-2.702,-0.172,-0.537,0.219,-2.681,1.620,-1.676,0.185,0.857,-1.062
943,944,Beaches,0.161,-0.667,1.334,-0.333,0.836,1.076,-1.437,-0.612,0.298,1.117
944,945,The Man in the Iron Mask,0.641,0.344,0.493,-1.781,-1.136,0.296,0.712,0.099,0.611,0.593
945,946,Shanghai Noon,-0.460,0.984,1.678,-0.307,1.141,1.665,-0.594,0.299,1.859,0.297
946,947,The Time Machine,-0.388,-0.446,-2.110,0.908,0.801,-0.003,0.652,-0.119,0.643,-0.026
947,948,Midnight in Paris,0.251,0.692,-1.663,1.276,-1.700,0.047,0.676,-1.356,-0.379,0.620
948,949,American Reunion,1.329,0.233,-0.522,-0.389,-0.067,0.761,-0.382,0.925,1.612,0.099
949,950,Saw V,1.037,-2.245,-0.454,0.168,-0.042,0.873,1.258,0.441,1.166,0.823
950,951,2001: A Space Odyssey,0.619,1.010,-0.493,-1.844,1.402,0.593,0.727,0.995,-0.020,0.646
951,952,A Civil Action,0.878,0.579,0.729,1.216,0.584,1.597,1.569,1.643,0.785,1.489
952,953,Guess Whos Coming to Dinner,0.854,0.126,0.219,1.117,1.103,-0.217,-0.505,1.628,-0.123,0.299
953,954,Clueless,-0.166,1.186,-0.695,1.083,-1.322,0.475,-0.148,1.632,-1.032,-0.064
954,955,Rat Race,-0.142,0.209,1.423,-0.639,-1.804,-1.807,1.717,0.583,0.342,1.437
955,956,The Queen,0.126,-2.291,0.626,-0.319,0.828,-1.487,-2.053,-0.126,-1.479,-0.202
956,957,Drumline,1.221,3.949,-0.517,-1.734,-1.541,0.258,0.962,-0.360,1.410,0.927
957,958,White Noise,-0.072,0.391,0.915,-1.314,-1.379,0.539,0.424,1.044,3.057,-0.371
958,959,Edward Scissorhands,3.187,-0.268,0.062,0.103,1.128,-3.462,-0.348,-1.608,0.234,-0.428
959,960,Once Upon a Time in Mexico,3.432,-0.015,-0.196,1.109,-1.602,-0.262,-0.865,-1.193,0.416,0.317
960,961,The Big Chill,-0.543,-1.055,1.139,-0.108,-1.753,-1.355,0.456,0.682,-1.394,0.637
961,962,Just Married,2.423,-0.345,0.845,-0.377,0.261,-0.227,-0.358,0.120,0.589,-0.366
962,963,Primal Fear,-0.569,-1.396,-0.066,-0.224,0.103,-0.322,0.014,1.588,-1.022,0.256
963,964,Wallace and Gromit: The Curse of the Were-Rabbit,1.923,1.098,-0.475,1.205,-0.545,0.682,-0.666,0.000,-0.089,-0.469
964,965,Be Cool,0.957,-0.531,-2.164,-0.251,-0.254,-0.618,-1.497,0.807,1.222,0.804
965,966,Romeo Must Die,-1.668,1.129,0.901,0.544,2.633,2.642,0.018,-1.242,0.085,-1.505
966,967,Friends with Benefits,-0.477,-0.039,2.585,-0.127,1.867,0.736,-0.461,-0.509,-1.254,-0.637
967,968,Eyes Wide Shut,0.170,-0.591,-0.175,-1.188,-1.180,0.877,0.930,0.252,0.227,0.385
968,969,Legend of the Guardians: The Owls of GaHoole,-1.468,-1.341,0.731,-0.502,-0.248,2.504,0.717,0.785,1.302,0.786
969,970,Snake Eyes,-0.585,-1.572,-0.270,-1.438,-0.427,-0.117,-0.352,0.740,0.631,-1.992
970,971,Never Been Kissed,0.958,0.640,0.471,-0.229,0.744,1.496,0.607,0.134,-0.371,-0.331
971,972,Alien 3,0.251,-1.526,0.934,0.681,2.407,-1.269,-1.189,0.065,2.547,0.716
972,973,Never Say Never Again,-2.100,0.765,1.145,-1.330,1.251,1.212,-0.775,0.883,-0.390,0.016
973,974,The Haunting in Connecticut,-0.070,-2.129,0.336,0.903,-1.422,-1.361,1.698,-1.149,1.377,-1.392
974,975,What Dreams May Come,0.047,-1.343,0.233,-0.511,-1.396,0.691,0.017,-0.137,-1.950,1.647
975,976,Ghosts of Girlfriends Past,-1.554,-1.256,-1.346,-0.239,0.929,0.633,-1.375,1.354,-0.548,-0.968
976,977,Tyler Perrys Why Did I Get Married?,-0.332,-0.231,0.815,-0.147,-0.211,-0.126,-0.556,-0.389,-0.311,-1.606
977,978,Saw,-1.296,-1.472,2.230,-0.124,0.467,-0.274,1.014,0.774,0.331,-1.159
978,979,I Am Number Four,-0.619,0.927,-0.056,2.144,-0.751,-0.572,1.174,-1.553,-0.268,-1.219
979,980,Halloween: H20,-1.250,0.519,0.056,-1.519,0.891,0.651,-1.162,-0.052,-0.492,0.586
980,981,The Guardian,-0.723,-1.078,-0.099,1.449,-1.576,-1.274,-0.562,-1.401,0.353,0.826
981,982,The Jackal,-1.389,-1.372,-1.416,2.078,-0.028,-0.038,1.098,-1.055,-0.479,0.014
982,983,Spawn,-1.794,-0.140,1.770,-1.916,-1.015,-1.313,-0.235,0.933,0.746,-0.338
983,984,Doc Hollywood,-0.274,-0.511,-0.040,-1.331,-0.257,-0.094,-1.377,-0.215,-0.127,-0.574
984,985,Starship Troopers,-0.539,-0.313,0.900,0.005,-1.631,-1.714,-0.057,0.845,-0.902,0.038
985,986,For Your Eyes Only,0.768,0.631,-0.107,-0.395,-0.094,-0.053,-0.763,-0.174,-1.653,-1.455
986,987,This Means War,0.866,-0.888,-1.963,0.723,0.325,0.758,0.905,-0.308,0.300,-0.168
987,988,Project X,0.742,-1.330,-1.179,0.542,0.837,0.077,0.160,2.302,-0.339,1.455
988,989,Source Code,0.156,-0.137,-1.147,-0.011,-0.160,-1.197,2.543,-1.578,-0.210,-1.112
989,990,The Omen,-0.532,1.079,1.430,-1.064,0.397,-0.049,0.095,0.939,-0.467,-0.614
990,991,Crash,-1.530,-0.314,2.518,-1.430,-0.128,-0.234,1.018,0.067,0.541,0.837
991,992,The Woman in Black,-0.593,-0.994,-0.180,-1.382,1.278,-0.162,1.254,-0.135,0.900,0.137
992,993,The Count of Monte Cristo,-1.249,-0.364,0.925,-0.174,-0.501,-0.063,0.358,0.670,0.038,1.855
993,994,The Abyss,0.440,-0.198,0.010,-2.352,-0.266,0.726,1.080,0.973,-2.040,-1.579
994,995,TMNT,2.472,0.128,-1.230,-0.332,-1.128,0.330,0.247,-0.730,-0.128,0.171
995,996,Final Destination 3,-0.964,0.088,-0.352,-1.274,1.187,-0.790,-1.402,-1.371,0.752,0.655
996,997,Insidious,0.956,0.070,0.017,0.024,0.687,-1.390,-0.071,-1.591,-0.352,-0.957
997,998,The Three Musketeers,-1.716,0.850,0.038,1.104,0.565,-2.023,3.096,-0.242,-1.451,-0.318
998,999,Austin Powers: International Man of Mystery,0.170,1.752,-0.106,0.737,0.783,0.683,0.009,-1.902,0.565,0.177
999,1000,Tin Cup,-0.199,1.864,0.860,-1.463,-0.086,0.603,0.863,0.392,1.755,0.334
1000,1001,Paycheck,0.782,-0.208,0.155,-2.010,0.761,0.064,0.550,0.482,-0.061,-0.597
1001,1002,Rambo III,-1.281,-1.341,1.596,1.813,0.531,-0.490,-1.531,1.490,1.175,-0.172
1002,1003,Hero,-1.273,0.939,-0.207,-0.016,1.651,-0.406,-1.466,-0.246,-1.559,1.397
1003,1004,P.S. I Love You,-2.398,0.613,-0.208,2.519,-0.243,0.675,-1.401,0.880,-1.201,-0.364
1004,1005,Rookie of the Year,0.985,-0.414,-0.307,1.007,-0.130,-1.389,-2.105,-1.305,-0.103,0.444
1005,1006,3:10 to Yuma,0.100,-0.462,1.655,-1.511,-0.834,-0.640,0.291,-0.326,0.931,-0.290
1006,1007,Robocop,2.947,0.152,1.145,-0.418,-1.680,-0.127,0.758,-1.122,0.637,-0.019
1007,1008,Life as We Know It,0.086,-0.188,-0.155,-0.072,-0.492,-0.400,-0.786,-0.040,0.720,0.750
1008,1009,Tim Burtons Corpse Bride,0.297,-0.421,-0.665,0.764,-0.078,-0.003,-0.336,0.217,-0.538,-0.050
1009,1010,Tyler Perrys Madeas Big Happy Family,-0.325,1.237,0.628,0.918,1.454,-0.005,-1.192,-1.200,-1.501,-0.458
1010,1011,Final Destination,0.051,-0.400,0.300,0.884,1.027,-0.269,0.089,-0.303,-0.595,-0.520
1011,1012,Sleepers,-0.029,1.007,0.755,-0.261,-0.533,-0.225,0.353,-0.507,-0.173,-2.084
1012,1013,Oliver & Company,-1.186,0.032,-0.583,-0.171,0.067,-1.149,0.620,-0.488,-1.298,0.072
1013,1014,The Devil Inside,-0.494,0.775,-2.697,0.540,-1.176,-1.377,0.501,0.806,-0.710,-0.919
1014,1015,The Prestige,-0.780,1.540,-0.015,-1.498,0.744,0.713,-0.057,-0.309,0.074,-1.040
1015,1016,Letters to Juliet,-0.269,0.772,-0.525,0.411,-0.147,-1.274,-1.565,1.131,1.075,-0.227
1016,1017,Blow,-0.278,-0.888,0.751,-0.705,0.686,1.751,-0.070,-0.535,0.027,-1.928
1017,1018,Sweeney Todd: The Demon Barber of Fleet Street,-2.242,0.186,0.126,0.029,2.214,0.649,-2.318,0.886,-0.051,-1.175
1018,1019,Varsity Blues,0.028,-0.014,-1.399,1.869,1.356,0.703,0.739,-1.453,0.111,-1.371
1019,1020,Forces of Nature,-0.183,-0.100,-2.051,1.881,-1.220,-1.218,-1.404,-0.225,-0.350,0.551
1020,1021,Message in a Bottle,1.178,-1.179,-1.634,-0.070,0.159,-1.419,-1.328,0.379,0.286,-2.619
1021,1022,Outrageous Fortune,-1.271,-1.307,0.096,0.847,0.864,0.110,-2.384,0.976,0.796,0.850
1022,1023,Kicking and Screaming,-0.354,-1.160,1.015,-1.313,0.537,-2.052,1.043,-1.510,0.095,-0.026
1023,1024,The Recruit,-0.256,-0.208,0.443,0.603,-0.378,-0.211,1.637,-0.329,-0.901,-0.110
1024,1025,Unfaithful,-0.716,-0.033,-0.333,1.027,0.005,-1.496,-0.587,0.904,1.108,0.732
1025,1026,Four Weddings and a Funeral,-0.308,0.783,-1.233,-1.250,-0.997,0.921,-0.351,0.067,0.696,0.568
1026,1027,Diary of a Wimpy Kid: Rodrick Rules,-0.110,0.974,-0.211,0.384,1.462,-0.036,1.246,-0.124,0.539,1.380
1027,1028,King Kong,-0.790,-0.102,0.861,0.067,-0.142,0.849,-0.321,0.576,-0.466,-0.572
1028,1029,The Strangers,0.569,0.619,-0.681,0.903,0.761,-0.130,0.606,-0.183,-1.570,-0.270
1029,1030,Wall Street: Money Never Sleeps,-1.093,0.978,0.467,-1.017,-0.282,0.973,0.854,0.634,0.759,-0.266
1030,1031,Blade: Trinity,-1.089,0.819,1.097,-1.372,-1.977,0.618,0.535,0.976,-0.570,-2.064
1031,1032,The Royal Tenenbaums,0.798,0.133,0.570,-0.267,0.848,-0.271,0.729,-1.329,0.607,0.064
1032,1033,Radio,-0.271,1.094,-2.042,-0.168,2.380,-0.315,-0.601,-0.061,3.390,-0.163
1033,1034,The Lake House,-0.277,-0.403,0.955,-0.177,-0.723,0.485,-0.121,0.212,0.885,1.326
1034,1035,Star Trek V: The Final Frontier,-0.313,0.278,-0.232,1.076,-0.175,-1.527,-2.024,-1.108,0.642,-0.390
1035,1036,Identity,-1.853,0.550,0.535,1.160,0.421,0.745,-0.424,-0.221,-1.056,0.392
1036,1037,Awakenings,-1.373,-0.177,0.958,-0.141,0.053,2.551,-1.201,0.625,-0.574,0.172
1037,1038,The Forbidden Kingdom,-0.156,0.665,0.853,-0.140,-0.418,0.788,0.878,0.895,-0.576,-1.336
1038,1039,"South Park - Bigger, Longer and Uncut",0.908,-0.557,-1.439,-0.536,0.704,1.232,1.551,0.338,0.844,0.445
1039,1040,Predators,0.254,0.505,-2.009,0.368,-1.141,0.883,-0.583,-0.079,-1.194,1.123
1040,1041,Underworld,0.372,-1.698,-0.379,-0.188,-1.126,-1.553,0.622,-0.055,-0.375,-0.656
1041,1042,King Arthur,1.140,-0.464,0.035,0.037,1.351,1.341,-0.043,-0.099,-0.415,0.595
1042,1043,Funny People,-1.157,-0.015,0.231,-0.411,1.024,0.023,1.117,1.054,-0.212,-1.469
1043,1044,Finding Forrester,0.697,1.253,-0.341,0.725,-1.103,0.336,1.428,0.208,0.505,-0.179
1044,1045,Footloose,0.022,-1.418,0.677,1.164,1.275,-0.198,0.789,-0.448,-0.210,0.735
1045,1046,Ghost Rider: Spirit of Vengeance,1.625,0.043,-0.415,0.398,-0.418,0.421,0.747,0.106,-0.245,0.010
1046,1047,Exit Wounds,-0.342,-0.323,0.911,2.488,-0.356,0.254,-0.074,-0.248,-1.486,-0.435
1047,1048,Tyler Perrys I Can Do Bad All By Myself,-1.664,0.208,-1.452,0.038,0.746,0.301,-0.205,1.680,0.606,0.490
1048,1049,Finding Neverland,-0.430,0.716,1.782,0.993,2.074,0.858,0.582,-2.097,0.253,0.640
1049,1050,The Grey,-1.507,-0.140,-0.376,-1.355,-0.183,-1.424,-0.269,-0.148,0.583,0.704
1050,1051,Amadeus,2.316,-1.387,-0.105,1.260,-0.261,-2.046,-0.019,0.491,-2.157,-0.683
1051,1052,My Bloody Valentine 3-D,-0.252,-1.583,0.424,0.003,-2.073,-1.335,-2.095,-1.234,-1.387,0.514
1052,1053,A Cinderella Story,-0.053,0.066,-1.454,0.791,0.858,0.549,0.813,0.151,0.500,-2.713
1053,1054,Like Mike,0.461,0.729,1.239,-0.497,-0.564,-0.454,-0.141,-2.201,-0.520,-0.075
1054,1055,Enemy at the Gates,-0.047,0.039,0.758,0.615,-0.492,0.043,-3.080,-0.086,0.833,-0.551
1055,1056,The Phantom of the Opera,-0.011,-0.658,0.073,-0.069,-0.186,-0.488,0.920,-0.213,0.511,0.484
1056,1057,The Love Bug,0.523,0.758,-0.155,-0.203,-1.971,-1.490,0.349,0.666,0.089,-0.013
1057,1058,Broadcast News,0.206,0.551,-0.032,0.188,-0.274,1.155,-2.160,-0.525,0.517,0.708
1058,1059,Resident Evil: Apocalypse,-0.240,-0.366,1.026,1.244,0.732,-1.510,-2.024,-0.471,0.670,-0.010
1059,1060,The Living Daylights,2.426,0.064,0.412,0.696,0.676,0.574,1.750,2.250,2.365,0.081
1060,1061,The Naked Gun 33 1/3: The Final Insult,-1.083,0.925,0.215,1.853,2.336,2.264,-0.718,0.808,-0.576,0.223
1061,1062,Hide and Seek,1.102,0.710,-1.195,-0.137,-0.531,-0.413,-1.091,1.696,-0.501,0.656
1062,1063,Up Close and Personal,0.377,-0.409,0.084,0.546,0.604,0.543,0.964,0.095,-1.968,1.125
1063,1064,The Hitchhikers Guide to the Galaxy,1.119,0.353,1.175,0.959,0.760,-0.636,0.090,-0.667,-0.973,0.287
1064,1065,Atonement,-0.818,-0.005,-1.165,-0.156,-0.351,2.399,0.440,1.119,1.015,-0.256
1065,1066,Bull Durham,1.133,-1.359,-0.530,0.252,1.105,0.234,0.550,0.592,0.132,0.222
1066,1067,The Tale of Despereaux,-0.610,-0.704,0.630,0.955,-0.096,1.019,1.039,2.115,0.651,-0.768
1067,1068,Apocalypto,-1.565,-0.505,0.702,0.559,0.516,-0.341,-1.312,-0.443,-0.330,-0.258
1068,1069,The Road to El Dorado,1.185,-0.073,1.143,-0.510,0.842,0.558,0.165,0.959,-0.340,-0.249
1069,1070,Syriana,0.799,-0.083,-0.502,-0.589,0.556,-0.172,-0.463,0.881,-0.017,0.099
1070,1071,A Bridge Too Far,0.589,-0.599,-0.670,0.970,1.801,-0.983,-0.156,0.023,-0.258,0.293
1071,1072,The Hurricane,-1.133,0.386,-0.418,-0.419,0.063,1.073,2.427,0.325,-0.764,-0.139
1072,1073,Resident Evil: Extinction,-0.435,0.677,-0.554,-0.755,0.047,0.164,-0.870,-0.358,2.124,0.859
1073,1074,Tyler Perrys Diary of a Mad Black Woman,0.615,-0.627,-1.990,-0.309,0.162,-0.510,-2.156,0.183,0.032,-1.592
1074,1075,Music and Lyrics,0.257,-0.953,0.324,1.133,-0.420,-1.119,2.523,-0.528,-0.766,-0.260
1075,1076,The Tuxedo,-0.446,-0.765,1.050,-0.795,-0.504,-1.063,0.560,0.331,-1.297,-0.191
1076,1077,The Four Seasons,-0.259,0.102,0.808,-0.935,0.324,-0.668,-0.141,-0.615,-0.754,-1.312
1077,1078,K-PAX,-0.788,-0.662,-0.704,-2.714,0.062,-0.918,-0.789,-0.587,-0.934,-2.085
1078,1079,Serendipity,-0.995,2.624,-0.003,-0.021,-0.008,-0.306,0.065,0.995,0.322,0.413
1079,1080,Hot Tub Time Machine,-0.942,-0.247,-0.666,-0.296,-2.564,-0.099,-0.858,0.696,-0.286,-0.955
1080,1081,Natural Born Killers,0.975,1.440,-0.019,-0.008,0.567,-0.836,0.369,0.856,-1.556,0.393
1081,1082,Angels in the Outfield,-2.512,0.128,-0.639,-1.303,-1.307,-1.493,0.756,-1.255,-0.987,0.604
1082,1083,Breakdown,0.585,-1.543,-0.228,1.154,-1.321,0.269,-0.260,0.104,1.151,-0.414
1083,1084,Little Women,-1.697,0.832,1.075,-0.427,0.412,-1.089,-1.385,-0.471,-0.520,1.175
1084,1085,Absolute Power,0.311,-2.288,-0.838,-1.441,0.384,-0.714,-0.546,-1.254,-0.688,-0.169
1085,1086,Evita,-0.603,0.929,-0.014,0.414,-0.645,-0.517,0.090,0.553,-0.375,-2.634
1086,1087,Stigmata,-2.270,0.011,1.918,1.248,-0.208,0.611,-0.024,0.787,-2.187,-0.249
1087,1088,Home on the Range,2.204,0.821,0.153,-0.683,-0.927,0.893,0.937,0.811,-0.412,-1.498
1088,1089,Under Siege 2: Dark Territory,0.507,-0.657,1.107,-0.494,-0.624,0.631,0.210,0.153,0.966,1.316
1089,1090,When a Man Loves a Woman,0.124,0.111,-0.932,-0.167,0.639,0.004,0.641,-1.303,-0.546,-0.965
1090,1091,Last Action Hero,0.350,-0.871,-0.528,0.101,0.665,0.425,1.222,0.392,1.229,-1.084
1091,1092,Tim Burtons The Nightmare Before Christmas,-1.738,-1.043,-0.476,0.093,0.664,-0.580,-0.752,-0.473,-0.633,1.052
1092,1093,Red Tails,-0.822,-1.093,-1.015,-0.969,1.040,-1.232,-0.868,-0.428,0.596,1.164
1093,1094,Legal Eagles,-1.075,0.667,1.063,1.057,-0.132,-2.606,-0.683,0.155,-0.329,0.257
1094,1095,Popeye,-0.038,-0.301,-0.769,0.295,-0.178,0.706,2.549,-0.184,-0.614,-0.484
1095,1096,Racing Stripes,1.048,-0.425,-0.970,-0.186,1.485,1.180,-1.032,0.905,0.079,0.328
1096,1097,Are We Done Yet?,-1.039,0.434,0.392,0.090,0.388,2.226,-0.350,-0.677,0.711,-0.806
1097,1098,Revenge of the Pink Panther,0.838,2.791,-2.466,-0.779,-0.309,0.490,1.373,0.309,1.788,2.445
1098,1099,Australia,-0.178,-0.351,0.088,0.739,-0.930,-0.085,0.368,1.078,0.651,-0.466
1099,1100,Old Dogs,1.455,-0.356,0.829,-2.201,-0.897,1.922,0.861,1.035,-1.469,-2.332
1100,1101,Runaway Jury,-0.214,-1.422,0.543,-0.803,0.915,-0.463,1.260,-1.112,-0.442,2.539
1101,1102,Land of the Lost,-0.365,0.166,0.445,-0.377,0.467,-0.596,0.727,-0.649,-0.751,-0.247
